,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
ID,EAN,Cantidad,SKU,Nombre,Tipo Alimento,Tipo Animal,Segmento,kcal Em/kg,LINK WEB
42413789053145,8436540360922,2 kg,RET501,RETORN CAT ADULT FISH 2KG,Seco,Gato,Adulto Pescado,3686,https://retorn.com/products/pienso-para-gatos-pescado?variant=42413789053145
43568574202073,8436540365439,8kg,RET5018,RETORN CAT ADULT FISH 8KG,Seco,Gato,Adulto Pescado,3686,https://retorn.com/products/pienso-para-gatos-pescado?variant=43568574202073
43289965068505,8436540365392,500 gr,RET502500,RETORN CAT ADULT CHICKEN 500 GR - NEW,Seco,Gato,Adulto Pollo,4070,https://retorn.com/products/pienso-para-gatos-pollo?variant=43289965068505
42413796983001,8436540360939,2 kg,RET502,RETORN CAT ADULT CHICKEN 2KG,Seco,Gato,Adulto Pollo,4070,https://retorn.com/products/pienso-para-gatos-pollo?variant=42413796983001
43568576463065,8436540365446,8kg,RET5028,RETORN CAT ADULT CHICKEN 8KG,Seco,Gato,Adulto Pollo,4070,https://retorn.com/products/pienso-para-gatos-pollo?variant=43568576463065
43289957662937,8436540365408,500 gr,RET503500,RETORN CAT ADULT LIGHT STERILIZED 500 -NEW,Seco,Gato,Esterilizados Light,3940,https://retorn.com/products/pienso-para-gatos-esterilizados?variant=43289957662937
42413798064345,8436540360946,2 kg,RET503,RETORN CAT ADULT LIGHT STERILIZED 2KG,Seco,Gato,Esterilizados Light,3940,https://retorn.com/products/pienso-para-gatos-esterilizados?variant=42413798064345
43568580690137,8436540365453,8kg,RET5038,RETORN CAT ADULT LIGHT STERILIZED 8 KG,Seco,Gato,Esterilizados Light,3940,https://retorn.com/products/pienso-para-gatos-esterilizados?variant=43568580690137
43290069303513,8436540365378,500 gr,RET500500,RETORN CAT KITTEN 500 GR - NEW,Seco,Gato,Cachorros,4173,https://retorn.com/products/pienso-para-gatitos?variant=43290069303513
42413796458713,8436540360915,2 kg,RET500,RETORN CAT KITTEN 2KG,Seco,Gato,Cachorros,4173,https://retorn.com/products/pienso-para-gatitos?variant=42413796458713
43568572661977,8436540365422,8kg,RET5008,RETORN CAT KITTEN 8 KG,Seco,Gato,Cachorros,4173,https://retorn.com/products/pienso-para-gatitos?variant=43568572661977
